book_id,Name,Description
3035,"Chickens, Mules And Two Old Fools: Tuck Into A Slice Of Andalucían Life (Old Fools, #1) ","Perhaps If Joe And Vicky Had Known What Relocating To A Tiny Village, Tucked In The Alpujarra Mountains, Would Really Be Like, They Might Have Hesitated... They Have No Idea Of The Culture Shock In Store. No Idea They Will Become Reluctant Chicken Farmers And Own The Most Dangerous Cockerel In Spain. No Idea They Will Be Befriended By An 85 Year Old Spliff-Smoking Sex-Kitten Or Rescued By A Mule. Life Is Never Dull As They Embark On Their Five Year Plan. At The End Of Five Years They Must Decide. Will They Stay, Or Return To The Relative Sanity Of England? Vicky And Joe'S Story Is Packed With Irreverent Humour, Animals, Eccentric Characters And Sunshine. 'Chickens, Mules And Two Old Fools' Was Awarded The Harpercollins Authonomy 'Gold Star' In November 2008. 'Laugh-Out-Loud Funny...Especially The Spanish Women Heckling Over Eggs From The The English...Hilarious...Engaging...The Interspersion Of Recipes Is Charming' Harpercollins 'This Is Wonderful. I Have Tears In My Eyes...The Humour, The Warmth, The Joy...I Love This Book...The Two Of You Sitting On The Sofa In That Dusty Street Listening To Spanish Tunes On The Crackly Radio. What A Sight You Must Have Been...' Aleck Loker, Author Of 18 Books Including 'Ancient Explorers Of America'. 'I Love The Relaxed Writing Style And Easy Humour Of This. Great Stuff!' Denny Gillan, Author Of 'Will You Love Me Tomorrow'. 'Victoria Twead Is A Natural Storyteller With A Knack For Charm And Wit.' Robin Bayley, Author Of 'The Mango Orchard'."
99,"Persepolis: The Story Of A Childhood (Persepolis, #1) ","Wise, Funny, And Heartbreaking, Persepolis Is Marjane Satrapi’S Memoir Of Growing Up In Iran During The Islamic Revolution. In Powerful Black-And-White Comic Strip Images, Satrapi Tells The Story Of Her Life In Tehran From Ages Six To Fourteen, Years That Saw The Overthrow Of The Shah’S Regime, The Triumph Of The Islamic Revolution, And The Devastating Effects Of War With Iraq. The Intelligent And Outspoken Only Child Of Committed Marxists And The Great-Granddaughter Of One Of Iran’S Last Emperors, Marjane Bears Witness To A Childhood Uniquely Entwined With The History Of Her Country.

Persepolis Paints An Unforgettable Portrait Of Daily Life In Iran And Of The Bewildering Contradictions Between Home Life And Public Life. Marjane’S Child’S-Eye View Of Dethroned Emperors, State-Sanctioned Whippings, And Heroes Of The Revolution Allows Us To Learn As She Does The History Of This Fascinating Country And Of Her Own Extraordinary Family. Intensely Personal, Profoundly Political, And Wholly Original, Persepolis Is At Once A Story Of Growing Up And A Reminder Of The Human Cost Of War And Political Repression. It Shows How We Carry On, With Laughter And Tears, In The Face Of Absurdity. And, Finally, It Introduces Us To An Irresistible Little Girl With Whom We Cannot Help But Fall In Love."
3594,The Autobiography Of Malcolm X ,"Through A Life Of Passion And Struggle, Malcolm X Became One Of The Most Influential Figures Of The 20Th Century. In This Riveting Account, He Tells Of His Journey From A Prison Cell To Mecca, Describing His Transition From Hoodlum To Muslim Minister. Here, The Man Who Called Himself ""The Angriest Black Man In America"" Relates How His Conversion To True Islam Helped Him Confront His Rage And Recognize The Brotherhood Of All Mankind. 
An Established Classic Of Modern America, ""The Autobiography Of Malcolm X"" Was Hailed By The New York Times As ""Extraordinary. A Brilliant, Painful, Important Book."" Still Extraordinary, Still Important, This Electrifying Story Has Transformed Malcom X'S Life Into His Legacy. The Strength Of His Words, The Power Of His Ideas Continue To Resonate More Than A Generation After They First Appeared. "
4971,The Hiding Place: The Triumphant True Story Of Corrie Ten Boom,"At One Time Corrie Ten Boom Would Have Laughed At The Idea That There Would Ever Be A Story To Tell. For The First Fifty Years Of Her Life Nothing At All Out Of The Ordinary Had Ever Happened To Her. She Was An Old-Maid Watchmaker Living Contentedly With Her Spinster Sister And Their Elderly Father In The Tiny Dutch House Over Their Shop. Their Uneventful Days, As Regulated As Their Own Watches, Revolved Around Their Abiding Love For One Another. However, With The Nazi Invasion And Occupation Of Holland, A Story Did Ensue. 

Corrie Ten Boom And Her Family Became Leaders In The Dutch Underground, Hiding Jewish People In Their Home In A Specially Built Room And Aiding Their Escape From The Nazis. For Their Help, All But Corrie Found Death In A Concentration Camp. The Hiding Place Is Their Story."
1381,All Creatures Great And Small ,"Delve Into The Magical, Unforgettable World Of James Herriot, The World'S Most Beloved Veterinarian, And His Menagerie Of Heartwarming, Funny, And Tragic Animal Patients.

For Over Forty Years, Generations Of Readers Have Thrilled To Herriot'S Marvelous Tales, Deep Love Of Life, And Extraordinary Storytelling Abilities. For Decades, Herriot Roamed The Remote, Beautiful Yorkshire Dales, Treating Every Patient That Came His Way From Smallest To Largest, And Observing Animals And Humans Alike With His Keen, Loving Eye.

In All Creatures Great And Small, We Meet The Young Herriot As He Takes Up His Calling And Discovers That The Realities Of Veterinary Practice In Rural Yorkshire Are Very Different From The Sterile Setting Of Veterinary School. Some Visits Are Heart-Wrenchingly Difficult, Such As One To An Old Man In The Village Whose Very Ill Dog Is His Only Friend And Companion, Some Are Lighthearted And Fun, Such As Herriot'S Periodic Visits To The Overfed And Pampered Pekinese Tricki Woo Who Throws Parties And Has His Own Stationery, And Yet Others Are Inspirational And Enlightening, Such As Herriot'S Recollections Of Poor Farmers Who Will Scrape Their Meager Earnings Together To Be Able To Get Proper Care For Their Working Animals. From Seeing To His Patients In The Depths Of Winter On The Remotest Homesteads To Dealing With Uncooperative Owners And Critically Ill Animals, Herriot Discovers The Wondrous Variety And Never-Ending Challenges Of Veterinary Practice As His Humor, Compassion, And Love Of The Animal World Shine Forth."
3099,Confessions ,"Augustine'S Confessions Is One Of The Most Influential And Most Innovative Works Of Latin Literature. Written In The Author'S Early Forties In The Last Years Of The Fourth Century A.D. And During His First Years As A Bishop, They Reflect On His Life And On The Activity Of Remembering And Interpreting A Life. Books I-Iv Are Concerned With Infancy And Learning To Talk, Schooldays, Sexual Desire And Adolescent Rebellion, Intense Friendships And Intellectual Exploration. Augustine Evolves And Analyses His Past With All The Resources Of The Reading Which Shaped His Mind: Virgil And Cicero, Neoplatonism And The Bible. This Volume, Which Aims To Be Usable By Students Who Are New To Augustine, Alerts Readers To The Verbal Echoes And Allusions Of Augustine'S Brilliant And Varied Latin, And Explains His Theological And Philosophical Questioning Of What God Is And What It Is To Be Human. The Edition Is Intended For Use By Students And Scholars Of Latin Literature, Theology And Church History."
45,Me Talk Pretty One Day ,"David Sedaris' Move To Paris From New York Inspired These Hilarious Pieces, Including The Title Essay, About His Attempts To Learn French From A Sadistic Teacher Who Declares That Every Day Spent With You Is Like Having A Caesarean Section. His Family Is Another Inspiration. You Can'T Kill The Rooster Is A Portrait Of His Brother, Who Talks Incessant Hip-Hop Slang To His Bewildered Father. And No One Hones A Finer Fury In Response To Such Modern Annoyances As Restaurant Meals Presented In Ludicrous Towers Of Food And Cashiers With Six-Inch Fingernails."
3269,Marley And Me: Life And Love With The World'S Worst Dog,"John And Jenny Were Just Beginning Their Life Together. They Were Young And In Love, With A Perfect Little House And Not A Care In The World. Then They Brought Home Marley, A Wiggly Yellow Furball Of A Puppy. Life Would Never Be The Same.

Marley Quickly Grew Into A Barreling, Ninety-Seven-Pound Streamroller Of A Labrador Retriever, A Dog Like No Other. He Crashed Through Screen Doors, Gouged Through Drywall, Flung Drool On Guests, Stole Women'S Undergarments, And Ate Nearly Everything He Could Get His Mouth Around, Including Couches And Fine Jewelry. Obedience School Did No Good—Marley Was Expelled. Neither Did The Tranquilizers The Veterinarian Prescribed For Him With The Admonishment, ""Don'T Hesitate To Use These.""

And Yet Marley'S Heart Was Pure. Just As He Joyfully Refused Any Limits On His Behavior, His Love And Loyalty Were Boundless, Too. Marley Shared The Couple'S Joy At Their First Pregnancy, And Their Heartbreak Over The Miscarriage. He Was There When Babies Finally Arrived And When The Screams Of A Seventeen-Year-Old Stabbing Victim Pierced The Night. Marley Shut Down A Public Beach And Managed To Land A Role In A Feature-Length Movie, Always Winning Hearts As He Made A Mess Of Things. Through It All, He Remained Steadfast, A Model Of Devotion, Even When His Family Was At Its Wit'S End. Unconditional Love, They Would Learn, Comes In Many Forms."
2786,John Adams ,"The Enthralling, Often Surprising Story Of John Adams, One Of The Most Important And Fascinating Americans Who Ever Lived.

In This Powerful, Epic Biography, David Mccullough Unfolds The Adventurous Life-Journey Of John Adams, The Brilliant, Fiercely Independent, Often Irascible, Always Honest Yankee Patriot -- ""The Colossus Of Independence,"" As Thomas Jefferson Called Him -- Who Spared Nothing In His Zeal For The American Revolution; Who Rose To Become The Second President Of The United States And Saved The Country From Blundering Into An Unnecessary War; Who Was Learned Beyond All But A Few And Regarded By Some As ""Out Of His Senses""; And Whose Marriage To The Wise And Valiant Abigail Adams Is One Of The Moving Love Stories In American History. "
4484,Man'S Search For Meaning ,"Psychiatrist Viktor Frankl'S Memoir Has Riveted Generations Of Readers With Its Descriptions Of Life In Nazi Death Camps And Its Lessons For Spiritual Survival. Between 1942 And 1945 Frankl Labored In Four Different Camps, Including Auschwitz, While His Parents, Brother, And Pregnant Wife Perished. Based On His Own Experience And The Experiences Of Others He Treated Later In His Practice, Frankl Argues That We Cannot Avoid Suffering But We Can Choose How To Cope With It, Find Meaning In It, And Move Forward With Renewed Purpose. Frankl'S Theory-Known As Logotherapy, From The Greek Word Logos (""Meaning"")-Holds That Our Primary Drive In Life Is Not Pleasure, As Freud Maintained, But The Discovery And Pursuit Of What We Personally Find Meaningful.

At The Time Of Frankl'S Death In 1997, Man'S Search For Meaning Had Sold More Than 10 Million Copies In Twenty-Four Languages. A 1991 Reader Survey For The Library Of Congress That Asked Readers To Name A ""Book That Made A Difference In Your Life"" Found Man'S Search For Meaning Among The Ten Most Influential Books In America."
3042,"Maus I: A Survivor'S Tale: My Father Bleeds History (Maus, #1) ","A Story Of A Jewish Survivor Of Hitler'S Europe And His Son, A Cartoonist Who Tries To Come To Terms With His Father'S Story And History Itself."
2865,Wild Swans: Three Daughters Of China ,"The Story Of Three Generations In Twentieth-Century China That Blends The Intimacy Of Memoir And The Panoramic Sweep Of Eyewitness History—A Bestselling Classic In Thirty Languages With More Than Ten Million Copies Sold Around The World, Now With A New Introduction From The Author.

An Engrossing Record Of Mao’S Impact On China, An Unusual Window On The Female Experience In The Modern World, And An Inspiring Tale Of Courage And Love, Jung Chang Describes The Extraordinary Lives And Experiences Of Her Family Members: Her Grandmother, A Warlord’S Concubine; Her Mother’S Struggles As A Young Idealistic Communist; And Her Parents’ Experience As Members Of The Communist Elite And Their Ordeal During The Cultural Revolution. Chang Was A Red Guard Briefly At The Age Of Fourteen, Then Worked As A Peasant, A “Barefoot Doctor,” A Steelworker, And An Electrician. As The Story Of Each Generation Unfolds, Chang Captures In Gripping, Moving—And Ultimately Uplifting—Detail The Cycles Of Violent Drama Visited On Her Own Family And Millions Of Others Caught In The Whirlwind Of History."
1061,A Long Way Gone: Memoirs Of A Boy Soldier ,"The Devastating Story Of War Through The Eyes Of A Child Soldier. Beah Tells How, At The Age Of Twelve, He Fled Attacking Rebels And Wandered A Land Rendered Unrecognizable By Violence. By Thirteen, He’D Been Picked Up By The Government Army, And Became A Soldier.

My New Friends Have Begun To Suspect I Haven’T Told Them The Full Story Of My Life.
“Why Did You Leave Sierra Leone?” “Because There Is A War.” “You Mean, You Saw People Running Around With Guns And Shooting Each Other?” “Yes, All The Time.” “Cool.” I Smile A Little. “You Should Tell Us About It Sometime.” “Yes, Sometime.” 

This Is How Wars Are Fought Now: By Children, Hopped-Up On Drugs And Wielding Ak-47S. Children Have Become Soldiers Of Choice. In The More Than Fifty Conflicts Going On Worldwide, It Is Estimated That There Are Some 300,000 Child Soldiers. Ishmael Beah Used To Be One Of Them. 

What Is War Like Through The Eyes Of A Child Soldier? How Does One Become A Killer? How Does One Stop? Child Soldiers Have Been Profiled By Journalists, And Novelists Have Struggled To Imagine Their Lives. But Until Now, There Has Not Been A First-Person Account From Someone Who Came Through This Hell And Survived.

In A Long Way Gone, Beah, Now Twenty-Five Years Old, Tells A Riveting Story: How At The Age Of Twelve, He Fled Attacking Rebels And Wandered A Land Rendered Unrecognizable By Violence. By Thirteen, He’D Been Picked Up By The Government Army, And Beah, At Heart A Gentle Boy, Found That He Was Capable Of Truly Terrible Acts. 

This Is A Rare And Mesmerizing Account, Told With Real Literary Force And Heartbreaking Honesty."
883,Confessions,
847,The Last Lecture,"Based On The Extraordinary Final Lecture By Carnegie Mellon University Professor Randy Pausch, Given After He Discovered He Had Pancreatic Cancer, This Moving Book Goes Beyond The Now-Famous Lecture To Inspire Readers To Live Each Day With Purpose And Joy. Photos Of Randy And His Family And Friends Are Included."
84,Martin Heidegger: Between Good And Evil,"One Of The Century'S Greatest Philosophers, Without Whom There Would Be No Sartre, No Foucault, No Frankfurt School, Martin Heidegger Was Also A Man Of Great Failures And Flaws, A Faustus Who Made A Pact With The Devil Of His Time, Adolf Hitler. The Story Of Heidegger'S Life And Philosophy, A Quintessentially German Story In Which Good And Evil, Brilliance And Blindness Are Inextricably Entwined And The Passions And Disasters Of A Whole Century Come Into Play, Is Told In This Brilliant Biography.

Heidegger Grew Up In Catholic Germany Where, For A Chance At Pursuing A Life Of Learning, He Pledged Himself To The Priesthood. Soon He Turned Apostate And Sought A University Position, Which Set Him On The Path To Becoming The Star Of German Philosophy In The 1920S. Rudiger Safranski Chronicles Heidegger'S Rise Along With The Thought He Honed On The Way, With Its Debt To Heraclitus, Plato, And Kant, And Its Tragic Susceptibility To The Conservatism That Emerged Out Of The Nightmare Of Germany'S Loss In World War I. A Chronicle Of Ideas And Of Personal Commitments And Betrayals, Safranski'S Biography Combines Clear Accounts Of The Philosophy That Won Heidegger Eternal Renown With The Fascinating Details Of The Loves And Lapses That Tripped Up This Powerful Intellectual.

The Best Intellectual Biography Of Heidegger Ever Written And A Best-Seller In Germany, Martin Heidegger: Between Good And Evil Does Not Shy Away From Full Coverage Of Heidegger'S Shameful Transformation Into A Propagandist For The National Socialist Regime; Nor Does It Allow This Aspect Of His Career To Obscure His Accomplishments. Written By A Master Of Heidegger'S Philosophy, The Book Is One Of The Best Introductions To The Thought And To The Life And Times Of The Greatest German Philosopher Of The Century."
4222,Infidel ,"One Of Today’S Most Admired And Controversial Political Figures, Ayaan Hirsi Ali Burst Into International Headlines Following The Murder Of Theo Van Gogh By An Islamist Who Threatened That She Would Be Next. She Made Headlines Again When She Was Stripped Of Her Citizenship And Resigned From The Dutch Parliament.

Infidel Shows The Coming Of Age Of This Distinguished Political Superstar And Champion Of Free Speech As Well As The Development Of Her Beliefs, Iron Will, And Extraordinary Determination To Fight Injustice. Raised In A Strict Muslim Family, Hirsi Ali Survived Civil War, Female Mutilation, Brutal Beatings, Adolescence As A Devout Believer During The Rise Of The Muslim Brotherhood, And Life In Four Troubled, Unstable Countries Ruled Largely By Despots. She Escaped From A Forced Marriage And Sought Asylum In The Netherlands, Where She Earned A College Degree In Political Science, Tried To Help Her Tragically Depressed Sister Adjust To The West, And Fought For The Rights Of Muslim Women And The Reform Of Islam As A Member Of Parliament. Under Constant Threat, Demonized By Reactionary Islamists And Politicians, Disowned By Her Father, And Expelled From Family And Clan, She Refuses To Be Silenced.

Ultimately A Celebration Of Triumph Over Adversity, Hirsi Ali’S Story Tells How A Bright Little Girl Evolves Out Of Dutiful Obedience To Become An Outspoken, Pioneering Freedom Fighter. As Western Governments Struggle To Balance Democratic Ideals With Religious Pressures, No Other Book Could Be More Timely Or More Significant."
4414,Bossypants ,"Before Liz Lemon, Before ""Weekend Update,"" Before ""Sarah Palin,"" Tina Fey Was Just A Young Girl With A Dream: A Recurring Stress Dream That She Was Being Chased Through A Local Airport By Her Middle-School Gym Teacher. She Also Had A Dream That One Day She Would Be A Comedian On Tv.

She Has Seen Both These Dreams Come True.

At Last, Tina Fey'S Story Can Be Told. From Her Youthful Days As A Vicious Nerd To Her Tour Of Duty On Saturday Night Live; From Her Passionately Halfhearted Pursuit Of Physical Beauty To Her Life As A Mother Eating Things Off The Floor; From Her One-Sided College Romance To Her Nearly Fatal Honeymoon—From The Beginning Of This Paragraph To This Final Sentence.

Tina Fey Reveals All, And Proves What We'Ve All Suspected: You'Re No One Until Someone Calls You Bossy."
239,Wild: From Lost To Found On The Pacific Crest Trail ,"At Twenty-Two, Cheryl Strayed Thought She Had Lost Everything. In The Wake Of Her Mother’S Death, Her Family Scattered And Her Own Marriage Was Soon Destroyed. Four Years Later, With Nothing More To Lose, She Made The Most Impulsive Decision Of Her Life. With No Experience Or Training, Driven Only By Blind Will, She Would Hike More Than A Thousand Miles Of The Pacific Crest Trail From The Mojave Desert Through California And Oregon To Washington State — And She Would Do It Alone.
Told With Suspense And Style, Sparkling With Warmth And Humor, Wild Powerfully Captures The Terrors And Pleasures Of One Young Woman Forging Ahead Against All Odds On A Journey That Maddened, Strengthened, And Ultimately Healed Her."
1964,The Diary Of A Young Girl ,"Anne Frank'S Extraordinary Diary, Written In The Amsterdam Attic Where She And Her Family Hid From The Nazis For Two Years, Has Become A World Classic And A Timeless Testament To The Human Spirit. Now, In A New Edition Enriched By Many Passages Originally Withheld By Her Father, We Meet An Anne More Real, More Human, And More Vital Than Ever. Here She Is First And Foremost A Teenage Girl—Stubbornly Honest, Touchingly Vulnerable, In Love With Life. She Imparts Her Deeply Secret World Of Soul-Searching And Hungering For Affection, Rebellious Clashes With Her Mother, Romance And Newly Discovered Sexuality, And Wry, Candid Observations Of Her Companions. Facing Hunger, Fear Of Discovery And Death, And The Petty Frustrations Of Such Confined Quarters, Anne Writes With Adult Wisdom And Views Beyond Her Years. Her Story Is That Of Every Teenager, Lived Out In Conditions Few Teenagers Have Ever Known."
3571,Oral And Maxillofacial Surgery: 7-Volume Set ,"This Is A Comprehensive And Definitive Resource On Oral And Maxillofacial Surgery. More Than 300 Authorities Examine The Full Scope Of The Field Including Orthognathic Surgery, Trauma Surgery, Surgical Pathology, Cosmetic Surgery, And Reconstructive Surgery."
